009  00245 |Loss: 0.883 | Acc: 62.500% 
009  00246 |Loss: 0.886 | Acc: 62.388% 
009  00247 |Loss: 0.878 | Acc: 62.760% 
009  00248 |Loss: 0.879 | Acc: 62.402% 
009  00249 |Loss: 0.877 | Acc: 62.040% 
009  00250 |Loss: 0.868 | Acc: 62.109% 
009  00251 |Loss: 0.872 | Acc: 62.007% 
009  00252 |Loss: 0.869 | Acc: 62.305% 
009  00253 |Loss: 0.877 | Acc: 62.314% 
009  00254 |Loss: 0.876 | Acc: 62.038% 
009  00255 |Loss: 0.871 | Acc: 62.160% 
009  00256 |Loss: 0.867 | Acc: 62.240% 
009  00257 |Loss: 0.862 | Acc: 62.312% 
009  00258 |Loss: 0.855 | Acc: 62.740% 
009  00259 |Loss: 0.853 | Acc: 62.789% 
009  00260 |Loss: 0.853 | Acc: 62.974% 
009  00261 |Loss: 0.866 | Acc: 62.992% 
010  00262 |Loss: 1.010 | Acc: 57.812% 
010  00263 |Loss: 1.051 | Acc: 56.641% 
010  00264 |Loss: 0.991 | Acc: 56.771% 
010  00265 |Loss: 0.994 | Acc: 57.227% 
010  00266 |Loss: 0.972 | Acc: 55.781% 
010  00267 |Loss: 0.951 | Acc: 57.031% 
010  00268 |Loss: 0.941 | Acc: 57.254% 
010  00269 |Loss: 0.941 | Acc: 57.910% 
010  00270 |Loss: 0.927 | Acc: 58.073% 
010  00271 |Loss: 0.933 | Acc: 58.047% 
010  00272 |Loss: 0.945 | Acc: 57.884% 
010  00273 |Loss: 0.940 | Acc: 58.464% 
010  00274 |Loss: 0.929 | Acc: 58.654% 
010  00275 |Loss: 0.930 | Acc: 58.315% 
010  00276 |Loss: 0.923 | Acc: 58.333% 
010  00277 |Loss: 0.910 | Acc: 58.838% 
010  00278 |Loss: 0.903 | Acc: 59.375% 
010  00279 |Loss: 0.896 | Acc: 59.852% 
010  00280 |Loss: 0.896 | Acc: 60.280% 
010  00281 |Loss: 0.885 | Acc: 60.859% 
010  00282 |Loss: 0.888 | Acc: 60.677% 
010  00283 |Loss: 0.884 | Acc: 60.831% 
010  00284 |Loss: 0.884 | Acc: 61.141% 
010  00285 |Loss: 0.888 | Acc: 61.328% 
010  00286 |Loss: 0.883 | Acc: 61.531% 
010  00287 |Loss: 0.883 | Acc: 61.659% 
010  00288 |Loss: 0.881 | Acc: 61.516% 
010  00289 |Loss: 0.880 | Acc: 61.496% 
010  00290 |Loss: 0.872 | Acc: 61.579% 
011  00291 |Loss: 0.763 | Acc: 67.188% 
011  00292 |Loss: 0.778 | Acc: 64.453% 
011  00293 |Loss: 0.836 | Acc: 64.844% 
011  00294 |Loss: 0.869 | Acc: 62.500% 
011  00295 |Loss: 0.857 | Acc: 62.656% 
011  00296 |Loss: 0.877 | Acc: 62.500% 
011  00297 |Loss: 0.864 | Acc: 63.058% 
011  00298 |Loss: 0.856 | Acc: 63.086% 
011  00299 |Loss: 0.861 | Acc: 63.368% 
011  00300 |Loss: 0.868 | Acc: 63.203% 
011  00301 |Loss: 0.873 | Acc: 63.210% 
011  00302 |Loss: 0.862 | Acc: 62.891% 
011  00303 |Loss: 0.853 | Acc: 62.921% 
011  00304 |Loss: 0.847 | Acc: 62.835% 
011  00305 |Loss: 0.848 | Acc: 62.396% 
011  00306 |Loss: 0.836 | Acc: 62.695% 
011  00307 |Loss: 0.830 | Acc: 62.960% 
011  00308 |Loss: 0.824 | Acc: 63.281% 
011  00309 |Loss: 0.823 | Acc: 63.569% 
011  00310 |Loss: 0.826 | Acc: 63.672% 
011  00311 |Loss: 0.826 | Acc: 63.653% 
011  00312 |Loss: 0.822 | Acc: 63.636% 
011  00313 |Loss: 0.830 | Acc: 63.281% 
011  00314 |Loss: 0.827 | Acc: 63.086% 
011  00315 |Loss: 0.828 | Acc: 63.344% 
011  00316 |Loss: 0.827 | Acc: 63.311% 
011  00317 |Loss: 0.830 | Acc: 63.108% 
011  00318 |Loss: 0.825 | Acc: 63.393% 
011  00319 |Loss: 0.833 | Acc: 63.380% 
012  00320 |Loss: 0.749 | Acc: 59.375% 
012  00321 |Loss: 0.796 | Acc: 57.812% 
012  00322 |Loss: 0.841 | Acc: 58.073% 
012  00323 |Loss: 0.865 | Acc: 57.422% 
012  00324 |Loss: 0.843 | Acc: 58.281% 
012  00325 |Loss: 0.842 | Acc: 59.635% 
012  00326 |Loss: 0.842 | Acc: 60.603% 
012  00327 |Loss: 0.834 | Acc: 61.523% 
012  00328 |Loss: 0.816 | Acc: 62.934% 
012  00329 |Loss: 0.826 | Acc: 62.969% 
012  00330 |Loss: 0.827 | Acc: 62.997% 
012  00331 |Loss: 0.820 | Acc: 63.021% 
012  00332 |Loss: 0.825 | Acc: 61.959% 
012  00333 |Loss: 0.831 | Acc: 61.775% 
012  00334 |Loss: 0.833 | Acc: 61.719% 
012  00335 |Loss: 0.828 | Acc: 61.719% 
012  00336 |Loss: 0.826 | Acc: 61.305% 
012  00337 |Loss: 0.824 | Acc: 61.415% 
012  00338 |Loss: 0.819 | Acc: 61.637% 
012  00339 |Loss: 0.817 | Acc: 61.641% 
012  00340 |Loss: 0.812 | Acc: 62.016% 
012  00341 |Loss: 0.803 | Acc: 62.393% 
012  00342 |Loss: 0.805 | Acc: 62.228% 
012  00343 |Loss: 0.809 | Acc: 62.077% 
012  00344 |Loss: 0.808 | Acc: 61.969% 
012  00345 |Loss: 0.810 | Acc: 61.899% 
012  00346 |Loss: 0.811 | Acc: 61.950% 
012  00347 |Loss: 0.814 | Acc: 61.914% 
012  00348 |Loss: 0.823 | Acc: 61.856% 
013  00349 |Loss: 0.709 | Acc: 73.438% 
013  00350 |Loss: 0.802 | Acc: 67.578% 
013  00351 |Loss: 0.844 | Acc: 63.802% 
013  00352 |Loss: 0.875 | Acc: 62.109% 
013  00353 |Loss: 0.888 | Acc: 61.250% 
013  00354 |Loss: 0.868 | Acc: 62.370% 
013  00355 |Loss: 0.854 | Acc: 62.835% 
013  00356 |Loss: 0.858 | Acc: 63.086% 
013  00357 |Loss: 0.858 | Acc: 63.194% 
013  00358 |Loss: 0.863 | Acc: 62.656% 
013  00359 |Loss: 0.855 | Acc: 62.287% 
013  00360 |Loss: 0.845 | Acc: 62.305% 
013  00361 |Loss: 0.849 | Acc: 61.779% 
013  00362 |Loss: 0.848 | Acc: 61.830% 
013  00363 |Loss: 0.846 | Acc: 61.771% 
013  00364 |Loss: 0.855 | Acc: 61.377% 
013  00365 |Loss: 0.852 | Acc: 61.719% 
013  00366 |Loss: 0.856 | Acc: 61.458% 
013  00367 |Loss: 0.850 | Acc: 61.431% 
013  00368 |Loss: 0.841 | Acc: 61.719% 
013  00369 |Loss: 0.837 | Acc: 61.830% 
013  00370 |Loss: 0.836 | Acc: 61.825% 
013  00371 |Loss: 0.833 | Acc: 61.957% 
013  00372 |Loss: 0.830 | Acc: 62.044% 
013  00373 |Loss: 0.828 | Acc: 62.344% 
013  00374 |Loss: 0.833 | Acc: 62.320% 
013  00375 |Loss: 0.830 | Acc: 62.384% 
013  00376 |Loss: 0.829 | Acc: 62.640% 
013  00377 |Loss: 0.828 | Acc: 62.604% 
014  00378 |Loss: 0.852 | Acc: 63.281% 
014  00379 |Loss: 0.820 | Acc: 60.938% 
014  00380 |Loss: 0.807 | Acc: 60.677% 
014  00381 |Loss: 0.815 | Acc: 59.766% 
014  00382 |Loss: 0.829 | Acc: 60.156% 
014  00383 |Loss: 0.832 | Acc: 61.458% 
014  00384 |Loss: 0.825 | Acc: 61.272% 
014  00385 |Loss: 0.817 | Acc: 61.426% 
014  00386 |Loss: 0.809 | Acc: 61.372% 
014  00387 |Loss: 0.808 | Acc: 61.484% 
014  00388 |Loss: 0.823 | Acc: 60.938% 
014  00389 |Loss: 0.819 | Acc: 61.003% 
014  00390 |Loss: 0.810 | Acc: 60.457% 
014  00391 |Loss: 0.806 | Acc: 60.882% 
014  00392 |Loss: 0.809 | Acc: 60.521% 
014  00393 |Loss: 0.812 | Acc: 60.498% 
014  00394 |Loss: 0.807 | Acc: 60.983% 
014  00395 |Loss: 0.820 | Acc: 60.634% 
014  00396 |Loss: 0.816 | Acc: 61.061% 
014  00397 |Loss: 0.812 | Acc: 61.055% 
014  00398 |Loss: 0.813 | Acc: 61.235% 
014  00399 |Loss: 0.812 | Acc: 61.151% 
014  00400 |Loss: 0.811 | Acc: 61.379% 
014  00401 |Loss: 0.810 | Acc: 61.393% 
014  00402 |Loss: 0.804 | Acc: 61.562% 
014  00403 |Loss: 0.809 | Acc: 61.508% 
014  00404 |Loss: 0.805 | Acc: 61.690% 
014  00405 |Loss: 0.803 | Acc: 61.830% 
014  00406 |Loss: 0.799 | Acc: 61.884% 
015  00407 |Loss: 0.651 | Acc: 67.969% 
015  00408 |Loss: 0.648 | Acc: 67.969% 
015  00409 |Loss: 0.706 | Acc: 66.146% 
015  00410 |Loss: 0.747 | Acc: 65.234% 
015  00411 |Loss: 0.754 | Acc: 64.844% 
015  00412 |Loss: 0.746 | Acc: 65.234% 
015  00413 |Loss: 0.756 | Acc: 64.174% 
015  00414 |Loss: 0.755 | Acc: 63.770% 
015  00415 |Loss: 0.769 | Acc: 63.368% 
015  00416 |Loss: 0.755 | Acc: 63.516% 
015  00417 |Loss: 0.754 | Acc: 64.205% 
015  00418 |Loss: 0.754 | Acc: 64.388% 
015  00419 |Loss: 0.745 | Acc: 64.964% 
015  00420 |Loss: 0.745 | Acc: 65.123% 
015  00421 |Loss: 0.749 | Acc: 65.208% 
015  00422 |Loss: 0.746 | Acc: 65.234% 
015  00423 |Loss: 0.744 | Acc: 65.028% 
015  00424 |Loss: 0.749 | Acc: 64.453% 
015  00425 |Loss: 0.755 | Acc: 64.309% 
015  00426 |Loss: 0.757 | Acc: 64.062% 
015  00427 |Loss: 0.756 | Acc: 64.100% 
015  00428 |Loss: 0.758 | Acc: 63.778% 
015  00429 |Loss: 0.754 | Acc: 63.757% 
015  00430 |Loss: 0.755 | Acc: 63.672% 
015  00431 |Loss: 0.752 | Acc: 64.000% 
015  00432 |Loss: 0.753 | Acc: 63.852% 
015  00433 |Loss: 0.763 | Acc: 63.600% 
015  00434 |Loss: 0.765 | Acc: 63.644% 
015  00435 |Loss: 0.766 | Acc: 63.767% 
016  00436 |Loss: 0.802 | Acc: 60.156% 
016  00437 |Loss: 0.725 | Acc: 60.938% 
016  00438 |Loss: 0.716 | Acc: 63.021% 
016  00439 |Loss: 0.772 | Acc: 62.500% 
016  00440 |Loss: 0.765 | Acc: 62.500% 
016  00441 |Loss: 0.766 | Acc: 62.760% 
016  00442 |Loss: 0.750 | Acc: 64.286% 
016  00443 |Loss: 0.765 | Acc: 63.184% 
016  00444 |Loss: 0.779 | Acc: 62.674% 
016  00445 |Loss: 0.777 | Acc: 62.891% 
016  00446 |Loss: 0.772 | Acc: 63.494% 
016  00447 |Loss: 0.770 | Acc: 63.021% 
016  00448 |Loss: 0.762 | Acc: 63.281% 
016  00449 |Loss: 0.763 | Acc: 63.225% 
016  00450 |Loss: 0.759 | Acc: 63.021% 
016  00451 |Loss: 0.756 | Acc: 62.598% 
016  00452 |Loss: 0.761 | Acc: 62.500% 
016  00453 |Loss: 0.766 | Acc: 62.543% 
016  00454 |Loss: 0.760 | Acc: 62.911% 
016  00455 |Loss: 0.767 | Acc: 63.047% 
016  00456 |Loss: 0.767 | Acc: 63.244% 
016  00457 |Loss: 0.765 | Acc: 63.388% 
016  00458 |Loss: 0.764 | Acc: 63.485% 
016  00459 |Loss: 0.763 | Acc: 63.542% 
016  00460 |Loss: 0.760 | Acc: 63.531% 
016  00461 |Loss: 0.758 | Acc: 63.401% 
016  00462 |Loss: 0.757 | Acc: 63.455% 
016  00463 |Loss: 0.755 | Acc: 63.560% 
016  00464 |Loss: 0.755 | Acc: 63.629% 
017  00465 |Loss: 0.713 | Acc: 62.500% 
017  00466 |Loss: 0.722 | Acc: 66.016% 
017  00467 |Loss: 0.761 | Acc: 63.281% 
017  00468 |Loss: 0.753 | Acc: 65.625% 
017  00469 |Loss: 0.728 | Acc: 66.719% 
017  00470 |Loss: 0.748 | Acc: 66.016% 
017  00471 |Loss: 0.770 | Acc: 65.513% 
017  00472 |Loss: 0.769 | Acc: 65.039% 
017  00473 |Loss: 0.769 | Acc: 64.497% 
017  00474 |Loss: 0.775 | Acc: 63.984% 
017  00475 |Loss: 0.786 | Acc: 62.642% 
017  00476 |Loss: 0.794 | Acc: 62.240% 
017  00477 |Loss: 0.796 | Acc: 61.959% 
017  00478 |Loss: 0.790 | Acc: 62.054% 
017  00479 |Loss: 0.780 | Acc: 62.396% 
017  00480 |Loss: 0.779 | Acc: 62.402% 
017  00481 |Loss: 0.779 | Acc: 62.362% 
017  00482 |Loss: 0.775 | Acc: 62.413% 
017  00483 |Loss: 0.769 | Acc: 62.623% 
017  00484 |Loss: 0.769 | Acc: 62.500% 
017  00485 |Loss: 0.771 | Acc: 62.574% 
017  00486 |Loss: 0.775 | Acc: 62.464% 
017  00487 |Loss: 0.772 | Acc: 62.602% 
017  00488 |Loss: 0.769 | Acc: 62.760% 
017  00489 |Loss: 0.775 | Acc: 62.312% 
017  00490 |Loss: 0.771 | Acc: 62.650% 
017  00491 |Loss: 0.770 | Acc: 62.760% 
017  00492 |Loss: 0.768 | Acc: 62.891% 
017  00493 |Loss: 0.761 | Acc: 62.992% 
018  00494 |Loss: 0.850 | Acc: 53.125% 
018  00495 |Loss: 0.772 | Acc: 60.938% 
018  00496 |Loss: 0.766 | Acc: 62.500% 
018  00497 |Loss: 0.725 | Acc: 64.453% 
018  00498 |Loss: 0.731 | Acc: 64.844% 
018  00499 |Loss: 0.762 | Acc: 63.932% 
018  00500 |Loss: 0.746 | Acc: 64.174% 
018  00501 |Loss: 0.727 | Acc: 65.430% 
018  00502 |Loss: 0.718 | Acc: 64.757% 
018  00503 |Loss: 0.737 | Acc: 64.141% 
018  00504 |Loss: 0.735 | Acc: 64.489% 
018  00505 |Loss: 0.738 | Acc: 64.453% 
018  00506 |Loss: 0.734 | Acc: 64.363% 
018  00507 |Loss: 0.754 | Acc: 63.783% 
018  00508 |Loss: 0.756 | Acc: 63.854% 
018  00509 |Loss: 0.758 | Acc: 63.721% 
018  00510 |Loss: 0.762 | Acc: 63.511% 
018  00511 |Loss: 0.761 | Acc: 63.108% 
018  00512 |Loss: 0.764 | Acc: 62.911% 
018  00513 |Loss: 0.767 | Acc: 62.773% 
018  00514 |Loss: 0.761 | Acc: 63.095% 
018  00515 |Loss: 0.760 | Acc: 63.210% 
018  00516 |Loss: 0.759 | Acc: 63.281% 
018  00517 |Loss: 0.760 | Acc: 63.314% 
018  00518 |Loss: 0.759 | Acc: 63.469% 
